w,c1,c2,media_makespan,desvio_padrao
0.2,0.5,0.5,965.9,7.894442489639292
0.2,0.5,1.0,967.6,7.676804890925217
0.2,0.5,1.5,967.6,7.676804890925217
0.2,1.0,0.5,964.1,7.992357460585567
0.2,1.0,1.0,981.7,14.967000738662076
0.2,1.0,1.5,981.7,14.967000738662076
0.2,1.5,0.5,964.1,7.992357460585567
0.2,1.5,1.0,981.7,14.967000738662076
0.2,1.5,1.5,981.7,14.967000738662076
0.5,0.5,0.5,977.4,10.319345371140987
0.5,0.5,1.0,970.9,7.460265112953799
0.5,0.5,1.5,970.9,7.460265112953799
0.5,1.0,0.5,973.9,5.466056876558985
0.5,1.0,1.0,991,7.71722460186015
0.5,1.0,1.5,991,7.71722460186015
0.5,1.5,0.5,973.9,5.466056876558985
0.5,1.5,1.0,991,7.71722460186015
0.5,1.5,1.5,991,7.71722460186015
0.8,0.5,0.5,994,5.436502143433364
0.8,0.5,1.0,996.8,5.769652406245015
0.8,0.5,1.5,996.8,5.769652406245015
0.8,1.0,0.5,992,10.561986345169906
0.8,1.0,1.0,994.7,7.717944458640958
0.8,1.0,1.5,994.7,7.717944458640958
0.8,1.5,0.5,992,10.561986345169906
0.8,1.5,1.0,994.7,7.717944458640958
0.8,1.5,1.5,994.7,7.717944458640958
